node1,node2,label
"CRONIN, JW","ISHIKAWA, F",0
"CAPPI, M","BERLIND, P",0
"KIPPEN, M","THIELEMANN, F",0
"SMAIL, I","PEREZFOURNON, I",0
"TAFFARELLO, L","MINENKOV, Y",1
"FABIAN, AC","PETRO, L",0
"DOTANI, T","BROWN, EF",0
"LEIBOWITZ, EM","HINE, BP",1
"PETERSON, BA","GONZALEZ, R",0
"CASTROTIRADO, AJ","HALPERN, J",1
"MATSUBARA, Y","SAKURAZAWA, K",1
"PUGET, J","HANLON, L",0
"FEROCI, M","UBERTINI, P",0
"CHURAZOV, E","REVNIVTSEV, M",1
"HIX, WR","THIELEMANN, FK",1
"KRON, RG","HARTWICK, FDA",0
"HERMSEN, W","ZAVATTINI, G",0
"GRAHAM, JR","LIDMAN, C",0
"SCARAMELLA, R","ZOU, ZL",0
"TAKAHASHI, T","SAMUELSON, FW",0
"ELSTON, R","ABRAHAM, R",0
"WOLD, M","DUNCAN, R",0
"BROTHERTON, MS","STOUGHTON, C",0
"PEDICHINI, F","PAWL, A",0
"DRAGOWSKY, MR","NORMAN, EB",1
"CASTANDER, FJ","PARADIJS, PPN",0
"ROTHSCHILD, RE","DIETERS, S",1
"CONNORS, A","ATKINS, TMCR",0
"THORSETT, SE","KAPER, L",0
"REACH, WT","TSAY, W",0
"STARRFIELD, S","NUGENT, PE",0
"DOKKUM, PV","FREEDMAN, WL",0
"KESTEVEN, MJ","STEWART, I",0
"HOOK, IM","SMITH, RC",0
"BOEHRINGER, H","NAGASE, F",0
"RITIS, RD","SCARPETTA, G",1
"FOSBURY, RAE","SOLLERMAN, J",0
"HOOK, IM","OHASHI, T",0
"HUNSTEAD, R","DAME, TM",0
"STERN, D","PAPADEROS, P",0
"MONTIGNY, CV","FUERST, E",0
"OFEK, EO","CASPERSON, D",0
"FRAIL, DA","HORNE, K",0
"SCOWEN, PA","CRISP, D",1
"TAKAHASHI, T","LEACH, CM",0
"COLAFRANCESCO, S","ARNOUTS, S",0
"OEMLER, A","MCCARTHY, PJ",0
"BONNET, H","BARVAINIS, R",0
"SMITH, DA","NAITO, T",0
"ISERN, J","PAUL, J",0
"AUGUSTEIJN, T","GOODRICH, RW",0
"SMITH, MS","SMITH, DL",1
"HOFFMAN, Y","ZEHAVI, I",1
"SHULGA, VV","GIACOMETTI, M",0
"NOVIKOV, B","KULESHOVA, N",0
"GROGIN, NA","PERLEY, RA",0
"FESEN, RA","KIRKPATRICK, JD",0
"NEFF, SG","FANELLI, MN",1
"NICASTRO, L","GAIDOS, J",0
"HUGHES, DH","WADDINGTON, I",0
"LASENBY, A","DAS, R",0
"OBRIEN, K","BATESON, FM",0
"MATTESON, JL","ROTHSCHILD, RE",0
"C, M","PERDEREAU, O",0
"MILLER, RS","DORFAN, DE",1
"GRANDI, SD","RISALITI, G",0
"RUBIN, BC","REINSCH, K",0
"TAKAHASHI, T","QUINN, J",1
"KEEL, RAWWC","DINSHAW, N",0
"SUNTZEFF, NB","TSVETKOV, DY",0
"OMONT, A","CHAPMAN, SC",0
"CHIBA, T","NAGASAWA, M",0
"LACY, M","HENDEN, AA",0
"TSUJIMOTO, T","YOSHII, H",0
"CAPOZZIELLO, S","SCUDELLARO, P",1
"DIETERS, SW","JAMES, DM",0
"BRIGGS, M","BOYLE, B",0
"LEHNER, MJ","WARNER, B",0
"PRICE, RM","WEBSTER, R",1
"SPINRAD, RAH","ROTTGERING, H",0
"YOSHIDA, K","SEGAWA, Y",0
"VOGES, W","GARILLI, B",0
"PANAGIA, N","PIRO, L",0
"KOMMERS, JM","HARRIS, F",0
"BLOOM, J","FREDERIKS, DD",0
"BENNETT, CL","LUBIN, PM",1
"CLEMENTS, D","TEODORO, CSFL",0
"LEHNER, M","VANDEDEI, T",0
"CRETTON, N","FREEMAN, K",0
"GALLIMORE, JF","LEDLOW, MJ",0
"LIN, T","BRINKS, E",0
"ULMER, MP","VIKHLININ, A",0
"LISSIA, M","BELLOTTI, E",0
"BARRIO, JA","CORTINA, J",1
"IWAMOTO, K","DUERBECK, HW",0
"BARWICK, SW","FICENEC, D",1
"BOER, M","DOUBLIER, V",0
"CHAFFEE, F","MASEGOSA, J",0
"ANTONUCCI, R","CHENG, FZ",0
"CHEN, K","LESSARD, RW",0
"GARNAVICH, P","SEBO, KM",0
"MARRI, S","TODINI, P",1
"BILDSTEN, L","LEAHY, DA",0
"BERGERON, LE","PACKHAM, C",0
"HOLLAND, S","OLSEN, LF",1
"SHIMODAIRA, H","KAWACHI, A",0
"HARRISON, FA","PUDDU, E",0
"ALLAN, DJ","TEODORO, L",0
"STETSON, PB","NELSON, C",0
"ACEVEDO, MT","RUBENSTEIN, EP",0
"TUCKER, W","VRTILEK, J",1
"WIJERS, RAMJ","HERGENROTHER, C",0
"MACCAGNI, D","PRONIK, VI",0
"CHEVRETON, M","MUKADAM, A",0
"ROSATI, P","NONINO, M",1
"KAAS, AA","WUCKNITZ, O",0
"LAMB, DQ","POOLEY, G",0
"FRANSSON, C","PETRO, L",0
"AGHANIM, N","LAGACHE, G",0
"COUCH, WJ","COLE, S",1
"KOOPMANS, LVE","WILKINSON, A",0
"SAKATA, M","YAMAMOTO, Y",1
"CIOTTI, L","LANZONI, B",1
"MACRI, LM","KIRKPATRICK, D",0
"GOTTHELF, EV","CHAKRABARTY, D",0
"SCOTT, D","BALLINGER, B",0
